id,dexNum,methodCount,classification,unknownScopeMethodCount
"mew","151","0","single_record","0"
"chikorita","152","0","single_record","0"
"bayleef","153","0","single_record","0"
"meganium","154","1","modeled","0"
"meganium-f","154","1","modeled","0"
"meganium-mega","154","1","modeled","0"
"cyndaquil","155","0","single_record","0"
"quilava","156","0","single_record","0"
"typhlosion","157","0","classified_fixed","0"
"typhlosion-hisui","157","0","classified_fixed","0"
"totodile","158","0","single_record","0"
"croconaw","159","0","single_record","0"
"feraligatr","160","1","modeled","0"
"feraligatr-mega","160","1","modeled","0"
"sentret","161","0","single_record","0"
"furret","162","0","single_record","0"
"hoothoot","163","0","single_record","0"
"noctowl","164","0","single_record","0"
"ledyba","165","0","classified_fixed","0"
"ledyba-f","165","0","classified_fixed","0"
"ledian","166","0","classified_fixed","0"
"ledian-f","166","0","classified_fixed","0"
"spinarak","167","0","single_record","0"
"ariados","168","0","single_record","0"
"crobat","169","0","single_record","0"
"chinchou","170","0","single_record","0"
"lanturn","171","0","single_record","0"
"pichu","172","0","single_record","0"
"cleffa","173","0","single_record","0"
"igglybuff","174","0","single_record","0"
"togepi","175","0","single_record","0"
"togetic","176","0","single_record","0"
"natu","177","0","single_record","0"
"xatu","178","0","classified_fixed","0"
"xatu-f","178","0","classified_fixed","0"
"mareep","179","0","single_record","0"
"flaaffy","180","0","single_record","0"
"ampharos","181","2","modeled","0"
"ampharos-mega","181","2","modeled","0"
"bellossom","182","0","single_record","0"
"marill","183","0","single_record","0"
"azumarill","184","0","single_record","0"
"sudowoodo","185","0","classified_fixed","0"
"sudowoodo-f","185","0","classified_fixed","0"
"politoed","186","0","classified_fixed","0"
"politoed-f","186","0","classified_fixed","0"
"hoppip","187","0","single_record","0"
"skiploom","188","0","single_record","0"
"jumpluff","189","0","single_record","0"
"aipom","190","0","classified_fixed","0"
"aipom-f","190","0","classified_fixed","0"
"sunkern","191","0","single_record","0"
"sunflora","192","0","single_record","0"
"yanma","193","0","single_record","0"
"wooper","194","0","classified_fixed","0"
"wooper-f","194","0","classified_fixed","0"
"wooper-paldea","194","0","classified_fixed","0"
"quagsire","195","0","classified_fixed","0"
"quagsire-f","195","0","classified_fixed","0"
"espeon","196","0","single_record","0"
"umbreon","197","0","single_record","0"
"murkrow","198","0","classified_fixed","0"
"murkrow-f","198","0","classified_fixed","0"
"slowking","199","0","classified_fixed","0"
"slowking-galar","199","0","classified_fixed","0"
"misdreavus","200","0","single_record","0"
"unown","201","0","classified_fixed","0"
"unown-b","201","0","classified_fixed","0"
"unown-c","201","0","classified_fixed","0"
"unown-d","201","0","classified_fixed","0"
"unown-e","201","0","classified_fixed","0"
"unown-exclamation","201","0","classified_fixed","0"
"unown-f","201","0","classified_fixed","0"
"unown-g","201","0","classified_fixed","0"
"unown-h","201","0","classified_fixed","0"
"unown-i","201","0","classified_fixed","0"
"unown-j","201","0","classified_fixed","0"
"unown-k","201","0","classified_fixed","0"
"unown-l","201","0","classified_fixed","0"
"unown-m","201","0","classified_fixed","0"
"unown-n","201","0","classified_fixed","0"
"unown-o","201","0","classified_fixed","0"
"unown-p","201","0","classified_fixed","0"
"unown-q","201","0","classified_fixed","0"
"unown-question","201","0","classified_fixed","0"
