species,url,cacheSha256,hasFormDataSection
"Tauros","https://bulbapedia.bulbagarden.net/wiki/Tauros_(Pok%C3%A9mon)","99190cfaa1c5285d7aab4603a1934b8820aef60ed92ac16ef20bc7c7636d6dea","true"
"Nuzleaf","https://bulbapedia.bulbagarden.net/wiki/Nuzleaf_(Pok%C3%A9mon)","5bf8fa8803e1547b2646880a2b875ad398fd8b8e92c9fafedbd2935756bc164f","false"
"Flapple","https://bulbapedia.bulbagarden.net/wiki/Flapple_(Pok%C3%A9mon)","dbe58be6485ca2b13a9d6440aa050c795b5e43f4b76d921e56a993affba86451","true"
"Aggron","https://bulbapedia.bulbagarden.net/wiki/Aggron_(Pok%C3%A9mon)","cbe3caf7c01d0f0a251a856612ce22d5c2367f43916be30291040abdd3c1ea7e","true"
"Salamence","https://bulbapedia.bulbagarden.net/wiki/Salamence_(Pok%C3%A9mon)","1cd66aebb87d1f94f54765f2906befcf4130bf0b06048e635e7032a541c18a24","true"
"Doduo","https://bulbapedia.bulbagarden.net/wiki/Doduo_(Pok%C3%A9mon)","78dddb87cbefc108c9763bf2b229c4bddcce01487ebbb018fd278c9d33a7d82f","false"
"Muk","https://bulbapedia.bulbagarden.net/wiki/Muk_(Pok%C3%A9mon)","1aea44875d8ca901caf0d1124acaa1484ec6829fe58b2ec44f6ad691734a35f2","false"
"Sandshrew","https://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pok%C3%A9mon)","0875c6c4465af9bb8f8bfdf4c0736e70f5d8535489cd29e1be57b8ce55ce553b","false"
"Ledian","https://bulbapedia.bulbagarden.net/wiki/Ledian_(Pok%C3%A9mon)","d86d3f2f94762a6afa3fbfaf4d08e6652ef234a80c75ef79352444ce580a1fd2","false"
"Golbat","https://bulbapedia.bulbagarden.net/wiki/Golbat_(Pok%C3%A9mon)","a05f2862223aed592a12fced92a7f4c81b6f1625f4e989538886d37b097d5083","false"
"Mawile","https://bulbapedia.bulbagarden.net/wiki/Mawile_(Pok%C3%A9mon)","c36affb6281376c2af2c5e01102451f69535798cb51418ade0ed3032459c0504","true"
"Beedrill","https://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pok%C3%A9mon)","a7997325717e63a1b5f6ee4731e7a6f8169f637d48c66518b363c66c40c41363","true"
"Appletun","https://bulbapedia.bulbagarden.net/wiki/Appletun_(Pok%C3%A9mon)","e950243aeb9ada68404153f93fdeb7b27d9357ee1e30b122c0bd913b9a861307","true"
"Zorua","https://bulbapedia.bulbagarden.net/wiki/Zorua_(Pok%C3%A9mon)","bb9b24ba39b61abed589db8eec10429b8900674bedfb768fc844a9701711829f","false"
"Latias","https://bulbapedia.bulbagarden.net/wiki/Latias_(Pok%C3%A9mon)","552a2876c9858841cee6508de25c1d407e9532268fc9a5f8bae13113cdd0dd74","true"
"Zigzagoon","https://bulbapedia.bulbagarden.net/wiki/Zigzagoon_(Pok%C3%A9mon)","b6aef5edc84b10c0a937a834037e080a09425cfe4b7d429a62c90a48aab82c29","false"
"Centiskorch","https://bulbapedia.bulbagarden.net/wiki/Centiskorch_(Pok%C3%A9mon)","67a17f76788973ec087a8bbc214562f7f085c5baaf1c7aa7f1147ee2c57fd909","true"
"Xatu","https://bulbapedia.bulbagarden.net/wiki/Xatu_(Pok%C3%A9mon)","823d7afc115de54ab6ed43101596833b6280cffdc9dd8cf93c478716dea03f79","false"
"Houndoom","https://bulbapedia.bulbagarden.net/wiki/Houndoom_(Pok%C3%A9mon)","cf01222185f42173696179b02e538609c37eafe2648ed40974cee0f8080c6cb5","true"
"Swalot","https://bulbapedia.bulbagarden.net/wiki/Swalot_(Pok%C3%A9mon)","6fc91875f05f762d2a601caa924d5e116ec5848fcd0314bd6385850a136f01c4","false"
"Corsola","https://bulbapedia.bulbagarden.net/wiki/Corsola_(Pok%C3%A9mon)","8c0b58ad5020cea29fc4912afb4a6f07d6182efd61c80158172e6ac078940ce4","false"
"Scovillain","https://bulbapedia.bulbagarden.net/wiki/Scovillain_(Pok%C3%A9mon)","265994a58469bf435fb0211c8dc69cce13b1801efcb256f9c1d097ff3f884c84","true"
"Cherrim","https://bulbapedia.bulbagarden.net/wiki/Cherrim_(Pok%C3%A9mon)","9ed7710cacc6f65c5d6c063c440250790648e1e3d0180780f6677267554d66a2","true"
"Girafarig","https://bulbapedia.bulbagarden.net/wiki/Girafarig_(Pok%C3%A9mon)","bb3bf425c29f3dff22d9d92433b31dea212fd0da93e10fa2a7674fcb9492d42c","false"
"Minior","https://bulbapedia.bulbagarden.net/wiki/Minior_(Pok%C3%A9mon)","ebe2f59787fe959a59f1c95122b76d82eaa2770e44597c33f7ef7dd04c9f8711","true"
